Reactor;Time;Sampling events;Sample volume (ml);DW;Total Protein;Target Protein;Glucose;Glycerol;D-Gluconate;Acetate;Lactate;Succinate;2-Keto-D-Gluconate;Offline_OD
Bioreactor 18;39.33333333;Sample 7.00 mL to CDW Samples 4/A6;7;;;;0;;0.032362621;;;;;9.4
Bioreactor 19;39.33333333;Sample 7.00 mL to CDW Samples 4/B1;7;;;;0;;0.007526107;;;;;5.1
Bioreactor 21;39.33333333;Sample 7.00 mL to CDW Samples 4/B3;7;;;;0;;0.047881707;;;;;8
Bioreactor 13;40.33333333;Sample 1.50 mL to AMBR-96DWP-3/D1;1.5;;;;6.355550856;;;;;;;
Bioreactor 14;40.33333333;Sample 1.50 mL to AMBR-96DWP-3/D2;1.5;;;;0;;;;;;;
Bioreactor 15;40.33333333;Sample 1.50 mL to AMBR-96DWP-3/D3;1.5;;;;0;;;;;;;
Bioreactor 16;40.33333333;Sample 1.50 mL to AMBR-96DWP-3/D4;1.5;;;;0;;;;;;;
Bioreactor 17;40.33333333;Sample 1.50 mL to AMBR-96DWP-3/D5;1.5;;;;0;;;;;;;
Bioreactor 18;40.33333333;Sample 1.50 mL to AMBR-96DWP-3/D6;1.5;;;;0;;;;;;;
Bioreactor 19;40.41666667;Sample 1.50 mL to AMBR-96DWP-3/D7;1.5;;;;0;;;;;;;
Bioreactor 21;40.41666667;Sample 1.50 mL to AMBR-96DWP-3/D9;1.5;;;;0;;;;;;;
Bioreactor 22;40.41666667;Sample 1.50 mL to AMBR-96DWP-3/D10;1.5;;;;0;;;;;;;
Bioreactor 23;40.41666667;Sample 1.50 mL to AMBR-96DWP-3/D11;1.5;;;;0;;;;;;;
Bioreactor 24;40.41666667;Sample 1.50 mL to AMBR-96DWP-3/D12;1.5;;;;0;;;;;;;
